,title,credit,desc
85,Algebra 1,"is most fundamental of mathematics courses covers the basics of solving and graphing linear and quadratic equations. Additionally, students will learn to factor equations, simplify radicals, and solve systems of equations.",
86,Geometry,Math,"This comprehensive course in geometry is designed to build logical reasoning and spatial visualization skills. The class is largely cumulative, as is all mathematics, in that we will continue to build on and utilize what we have already learned. Topics to be covered include deductive reasoning, lines in a plane, the study of polygons with particular stress on triangles, transformations, congruence, similarity, properties of circles, constructions, areas and volumes of solids, coordinate geometry, and basic trigonometry."
87,Algebra 2,"gebra 2 is divided into three topics: 1) the basic mechanics of algebra—an extension of what was learned in Algebra 1; 2) the principle of functions—the idea that equations can be seen as mathematical “machines” that take input and create output; 3) the idea of “modeling”—that functions can be used to represent real behavior in the world. Students will learn and review work with linear functions before expanding into quadratics and exponential and logarithmic functions, as well as basics of trigonometry (building on principles learned in Geometry). Algebra 2 prepares students for Pre-Calculus.",
88,Pre-Calculus,"is course will begin with a study of how theorems in a mathematical system fit together and how they can be applied. From there we will discuss logarithms and inverse functions followed by an in-depth study of trigonometry. In semester 2, we will primarily focus on analyzing relations, functions and graphs. We will build on concepts from Algebra 2, practice algebraic manipulation and gain familiarity with graphs and their manipulations, and explore some topics that will be built upon in Calculus.",
89,Pre-Algebra,"e-Algebra prepares students for the study of Algebraic concepts. During the year we will explore units that include but are not limited to rational number operations, expressions, inequalities, graphing, data and statistics, and geometry.",
90,Foundations of Advanced Math,"e purpose of this course is to prepare students for Algebra 2 and, in certain cases, Pre- Calculus. We will focus on fortifying the basic mechanics of algebra, including working with integers, fractions, linear and quadratic equations and their graphs, radicals, roots, and some basic trigonometry.",
91,Calculus,Honors Math,"Calculus is the math students’ introduction to a branch of mathematics called Analysis. In this area we examine functions at a local (microscopic) level with an eye toward understanding the functions globally. In this course we will seek to answer several questions: How can we describe functions? How can we describe their change? How can we summarize large sums? In our quest to answer these questions, we will learn and practice the skills that mathematicians developed centuries ago to make calculations as they sought the same answers."
92,Math in Art,Applied Math 1,"Math and art seem to be two very different topics. This Math in Art course helps students to see that mathematics is not just about equations and logic but also about patterns, symmetry, structure, and beauty in nature and art. Students will be surprised to find how nature has integrated these two disciplines so well. We will investigate the Fibonacci Sequence, the Golden Ratio, Fractals and the Mandelbrot Set through the play of numbers in nature and man-made objects, one/two/three point perspective drawing, Bezier curves through string art, theorems involving folding papers to precise measurements through origami, geometric patterning through agamographs, and quilting."
93,Statistics: Quantifying Democracy,Applied Math 1,Are democracies actually free? This class is a joint Morning and Afternoon Module course and students must sign up for both. Government concepts include an examination of the characteristics between democratic and authoritarian governments. In the second half of the course students will explore a variety of statistical analyses using data obtained from various sources. EQ: 
94,The Art of the Graph,Applied Math 1,"In this course we will explore the many artistic capabilities of the online graphing calculator, Desmos. Through projects, we will practice using some of this calculator’s features and figure out some of its evolving capabilities. You will also get a chance to explore some of the possibilities at desmos.com/art that others have discovered and play with those options yourself. Along the way, you will get to see how beautiful the math you’re doing in your other math classes can be."
95,Topics in Discrete Mathematics,Honors Applied Math,"Discrete mathematics courses are often the gateway to math and computer science majors, and while they vary in many of their topics from class to class, all cover elements of set theory, combinatorics and vertex-edge graph theory. Students taking this class will get an edge on their college Discrete Math course (or decide if they even want to take one) and a taste of what college math will be like. Students will be required to present an exhibition for this course in addition to the one for their Morning Module."
96,Personal Finance,Applied Math 1 or Social Studies 1,"Financial literacy is key to helping us reach our goals in life. It is essential that we be able to recognize options, analyze those options, and plan for our success. Students will learn strategies for managing and tracking their spending and saving. We will discuss the many financial decisions that will likely affect students’ lives from selecting a credit card, understanding a credit score, saving for retirement, buying a house or a car and what expenses they can expect to incur when they are out on their own."
97,Environmental Chemistry,Chemistry 1,"How do we know if an ecosystem is healthy or not? There are many ways chemistry can give us a glimpse of the status of ecosystems. This course will explore chemical analyses of air, water, and soil, and what can be inferred about environmental health from chemical data. We will explore topics such as how CFCs destroy the ozone layer, how acids leach from coal mining operations, and how carbon capture and storage works in the fight to slow climate change. EQ: "
98,Astronomy & Astrophysics,General Science or Physics 2,"What is our universe made of and where did it come from? Is Earth the only world that can sustain life? This course will explore the cosmos with a focus on astronomy, physics, and cosmology as well as an exploration of how astrobiologists search for potentially habitable worlds beyond our own. Topics to be covered include the origins of our universe, the structure of matter and energy, radio astronomy, habitability, and questions regarding space travel and the possibility of eventual contact with extraterrestrials."
99,Biology of Public Health,Biology or PE/Health 1,"In this course we will examine the science behind public health, and how we can measure biomarkers and other indicators to determine a snapshot of individual and collective health. We will explore topics in mental and physical health, microbiology, immunology and physical fitness, with the goal of communicating the importance of public health through creating short school-wide public health campaigns. EQ: "
100,Language & Identity,General Science or Social Studies 2,"This course will look at what recent scientific research says about the relationship between language and social identity. Questions we will consider include: How do we create our own identities when we use language? How do age, gender, ethnicity, and class influence the way people use language? How do speakers use language differently in different situations? How and why do various dialects differ from each other? How does language change spread between communities? How has the internet age accelerated the rate of language change and shaped the language of Millenials and Gen Z? In order to develop answers to these questions we will practice reading and interpreting scientific journal articles. Students will also get support en route to writing a research paper tackling the EQ: "
101,Biological Macromolecules and Nutrition,Biology 2,"If you’ve ever tried to read nutritional labels or vitamins to see if what’s in them is “good for you,” it can get confusing. What is real and what is just slick marketing? What are Omega 3-6-9s? Which is better for slower-burning energy–a polysaccharide or a monosaccharide? Is a calorie just a calorie or does nutritional profile matter? What are the chemical and physical properties of these molecules and how can they be used to our advantage? If you want to know what you are eating, its structure, how it works, and what it does to you, this class is for you. EQ:"
102,Kitchen Chemistry,Chemistry 1,This course will explore different ingredients and cooking processes from a chemical perspective. Students can expect to learn about the scientific underpinnings of different ingredients and processes. Students are required to do all cooking/baking outside of school. Essential Question: 
103,Community Science: Biology,Biology 1,"Public interest in science combined with limited funding for research means that scientists are looking to use data sets that can be generated inexpensively by the public. We will explore these data sets, what researchers are learning from them, and contribute our own biological data points collected from our environment to community science. Along the way, we will learn more about the biological concepts of animal migration patterns, animal reproduction and development, plant growth and timing, biodiversity, and other topics as we explore scientists’ research. EQ: "
104,Geology,General Science 1,"Have you ever wondered what rocks are made of, how gems and crystals form, how volcanoes work, or how tectonic plate movement affects our Earth? We will explore these topics and more by learning about matter on Earth and the chemical and physical processes that shape it into the rocks and landforms we know today. EQ: "
105,Optics of Lenses and Mirrors,Physics Level 1,"This course will be geared towards understanding the physics behind the human eye and corrective lenses, cameras, microscopes, telescopes, periscopes, 3D movies etc. This involves the study of reflections, refractions, illuminations, geometry in the optics of lenses and mirrors: ray diagrams and equations, interference, diffraction, and polarization."
106,Biodiversity and Ecology,Honors Biology,"Why are some places on Earth biodiversity hotspots, and others aren’t? How do evolution and ecology interact to produce unique and fascinating new species? This course will explore how geography, climate, chemistry, biological, and anthropogenic factors affect the history and the future development of life on Earth. EQ: "
107,Principles of General Chemistry,Honors Chemistry,"Why can you never trust an atom? They make up literally everything! This course is designed to aid students in the mastery of chemical concepts and laboratory techniques. Students can expect to explore concepts like stoichiometry, thermodynamics, kinetics, and equilibrium."
108,Plants & Society,Biology 1,"This course will focus on plant structures and classifications as well as how plants and humans have shaped each other throughout human history. After studying plant anatomy and reproduction, we will look at the impact that commercial agriculture and trade have had on the world. We will also examine flower structures, pollination, and food security. Additionally, we will examine how some plant compounds are concentrated to turn them into highly addictive substances, and how governments react. EQ: "
109,Chemistry of Fireworks,Chemistry 1,"We all must have experienced the colorful and impressive fireworks displays at Fourth of July celebrations and other events. These displays pack a lot of chemistry into those “Ooh! Aah!” moments. In this course we will learn more about the history, construction, shapes, and colors of fireworks. We will particularly go over oxidation and reduction reactions that make the fireworks explode into those beautiful patterns. We will also discuss firework safety and environmentally friendly fireworks."
110,Biology of Public Health,Biology or PE/Health 1,"In this course we will examine the science behind public health, and how we can measure biomarkers and other indicators to determine a snapshot of individual and collective health. We will explore topics in mental and physical health, microbiology, immunology and physical fitness, with the goal of communicating the importance of public health through creating short school-wide public health campaigns. EQ: "
111,Sports Physics,Physics 1,"Participation in sports requires an intuitive understanding of basic physical principles such as force, torque, work, and energy. To achieve success, an athlete must become a “student of the game” to determine specific strategies and approaches that can lead to success. These strategies might involve different training or playing methods, but what differentiates one approach from another? This course studies the fundamental concepts that inform sport performance and, as an Afternoon Module, most days in class will be split between classroom discussion and field study."
112,Invertebrate Zoology,Biology 1,"Over 90% of the world’s animals are invertebrates…and they have been the most successful animals throughout geologic time. What accounts for this success? How do their body plans solve adaptive “problems” in order to survive, reproduce, and thrive in their environments? How have changing earth conditions allowed for periods of rapid evolutionary change? We will explore invertebrate evolution, body structure and function, taxonomy, adaptations, and more. EQ: "
113,Green Chemistry,Chemistry 1,This course will look into ways to build a sustainable future through the development of green chemistry. We will be learning the underlying concepts of this branch of science through projects that promote ways to uphold the twelve principles of green chemistry. Throughout this course we will be studying some of the outstanding research and inventions that green chemists have achieved. The class will be geared towards understanding that we can go green at the manufacturing stage rather than at the end product stage.
114,Bridges,Physics 1,"Much of classical physics is employed in the construction of bridges. In this project-driven class, students will learn about bridges from a technical standpoint, developing intuition through trial-and-error. Each week, students design and construct a bridge given a set of unique materials and requirements. The course will culminate with students designing and building a final bridge, with a competition to see whose bridge can hold the most weight to be held at the Science Fest."
115,Community Science: Chemistry,Chemistry 1,"Public interest in science combined with limited funding for research means that scientists are looking to use data sets that can be generated inexpensively by the public. We will explore these data sets, what researchers are learning from them, and contribute our own chemical data points collected from our environment to community science. Along the way, we will learn more about the chemical concepts of soil cation testing,as well as stream water chemistry, including nitrates, phosphates, pH, and dissolved ions. EQ: "
116,Biology of Public Health,Biology or PE/Health 1,"In this course we will examine the science behind public health, and how we can measure biomarkers and other indicators to determine a snapshot of individual and collective health. We will explore topics in mental and physical health, microbiology, immunology and physical fitness, with the goal of communicating the importance of public health through creating short school-wide public health campaigns. EQ: "
117,Study Hall,no credit given,"Study hall serves two purposes: First, study hall allows you to take fewer classes each quarter, keeping your workload to a reasonable level. Second, it gives you a set "
118,Study Skills,Elective 1,"This course is an opportunity to take 45 minutes a day to focus on improving as a student. Work closely with me to build good habits (such as organization and self advocacy) that will transfer to academic success. In a typical week you can expect to have an individual meeting with me to discuss your progress in your classes, celebrate your successes, and your areas of improvement. In a typical class you can expect to work on new skills individually and with support from me and your peers, and complete assignments from your classes."
119,Nature Walking,PE/Health 1,"We’re going to get to know the land around us. We’ll walk the Cross County Trail along Accotink Creek, which we access via Thaïs Park next to the school. On days when the weather isn’t great, we’ll explore the history behind the land we’re on, we’ll learn more about natural environments, and we’ll exercise our bodies and minds in other ways. We may do yoga, low-impact exercise, and meditation."
120,The DIY Life,Elective,"A long time ago, people had to live without many modern inventions we now take for granted, yet they still ate, wore clothes and cleaned things. In this class we will learn how skills of past eras can help us in our 21st century world with an eye toward making do with the resources at our fingertips and reducing waste. Some skills that we will work on are foraging, sewing, cooking/recipe building, and cleaning."
121,Frisbee,PE/Health 1,"Welcome to frisbee! For this class, we will be diving into ultimate frisbee skills, general sports fitness, and the joy of playing the game. I have been playing ultimate frisbee since 6th grade, and I look forward to passing along all my technical knowledge of the sport along with a vast repertoire of fun frisbee-related games and activities. Over the course of the quarter, we will also play lots of non-frisbee PE games as well to bring some variety to the class. I encourage students to bring forward any of their own frisbee knowledge, and I am always open to new ideas/receiving feedback about the class!"
122,Basketball,PE/Health 1,"We’ll learn basketball skills, strategy, and good ole teamwork! While this class will have a focus on basketball, we will play other indoor court sports to mix it up. With each class, we’ll support each other, participate to the best of our ability, get a good workout, and have a great time!"
123,Net Sports,PE/Health 1,"Welcome to net sports! For this class, we will be exploring a few different sports: volleyball, badminton, pickleball, and spikeball. While each of these sports uses a net, they each involve different skills and game strategy. Over the course of the quarter, we will be diving into the specific sport skills, general sports fitness, and the joy of playing games. I encourage students to bring forward any of their own net sports knowledge, and I am always open to new ideas/receiving feedback about the class!"
124,Soccer,PE/Health 1,"We’ll learn the Beautiful Game! Under the tutelage of Austin, the best player on his 5th grade YMCA team, you’ll pick up all kinds of skills related to soccer. But not just soccer! We’ll keep it fresh and interesting and play other sports and games outside as well. With every class, we’ll be good teammates and hopefully walk away feeling refreshed from a great workout and great time."
125,Choreography for Broadway,Arts or PE/Health 1,"Through games and exercises we will explore concepts of choreography that are important to take into account when designing a musical theatre song and dance number for the stage. We will work on a big group number together and students will collaborate on small group numbers as well as working on a solo, all inspired by the music of Broadway. This course can be taken independently from the Morning Module Broadway course, but that course will screen full shows while we will not and this course will provide time to work on choreography for the Morning Module exhibition."
